项目ID,项目,日期,事件类型,事件,说明,资料标题,资料链接
MHP031,PT Huashan Nickel Cobalt 华山镍钴,2022-06-20,规划,华山镍钴投资方案公告,华友公告华山镍钴项目投资方案，拟在纬达贝地区建设湿法镍钴项目；公告明确项目尚处设计和审批阶段，不能把目标年份写为实际投产。,华友关于对外投资公告2022-097,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=8304141
NPI023,PT Jade Bay Metal Industry 翡翠湾金属工业,2022-07-08,股权,中伟公告投资翡翠湾项目,中伟公告与DNPL在纬达贝建设翡翠湾项目，中伟拟持股50.1%并取得控制。项目设计为两条RKEF、年产2.75万镍吨低冰镍。,中伟：翡翠湾投资公告,https://static.cninfo.com.cn/finalpage/2022-07-08/1213982929.PDF
NPI012,PT Debonair Nickel Indonesia 德邦镍业,2022-07-31,股权,完成控制性权益收购,中伟体系通过收购Debonair Holdings取得印尼经营实体50.1%权益，项目由此纳入控制范围；2026年半年报仍列50.1%，其余股东权益不能自行推断。,中伟股份2026年半年度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-25/53856f2b-83a4-477b-913d-79194ee16cf7.PDF
NPI023,PT Jade Bay Metal Industry 翡翠湾金属工业,2022-07-31,股权,完成控制性权益安排,中伟后续报表将香港中拓持有翡翠湾50.1%、DNPL持49.9%列入子公司结构。该日期属于控制性权益节点，不能借用德邦的首炉日期。,中伟股份2026年半年度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-25/53856f2b-83a4-477b-913d-79194ee16cf7.PDF
NPI054,PT Wanxiang Nickel Indonesia 万向镍业,2022-09,投产,1号高炉投产,万向官网历史记载1号高炉于2022年9月投入生产，项目开始形成镍铁产出；单炉投产不能代表四座高炉同期运行。,Wanxiang官网历史,https://wanxiang.co.id/our-history/
RF001,PT CNGR Ding Xing New Energy 中伟鼎兴新能源,2022-09,建设,鼎兴电解镍项目开工,中伟官方回顾记载鼎兴于2022年9月在莫罗瓦利开工建设年产5万吨电解镍产线，原料路线包括高冰镍浸出、萃取和电积。,中伟：鼎兴DX-zwdx获LME注册及投产工艺,https://www.cngrgf.com.cn/gsxw/1289.html
NPI047,PT Halmahera Jaya Feronikel (HJF) 力勤哈利达HJF镍铁项目,2022-10—2023-05,投产,八条RKEF分步投运,HJF八条RKEF自2022年10月至2023年5月依次投入运行，分线投产使矿石、电力和冶炼系统逐步磨合。,力勤资源2026年中期报告,https://ir-upload.realxen.net/iis/2245/uploads/iis/2026/12330820-0.PDF
NPI022,PT Huake Nickel Indonesia 华科镍业,2022-11,经营,首批高冰镍运往中国,华友披露华科首批高冰镍于2022年11月启运中国，证明产品形成并进入物流环节；首运不等于全年达产，也不能反推每座炉的产品分工。,2022Q4试产及首运,https://www.huayou.com/en/news/press-release/33.html
NPI031,PT Oracle Nickel Industry (ONI) 奥拉克镍业,2022-11,投产,首次生产NPI,Oracle Nickel Industry四条RKEF开始生产NPI，标志项目进入投产阶段；后续商业销售和高冰镍转换投资应作为不同节点分别观察。,Nickel Industries Operations,https://nickelindustries.com/operations/
P41,ANTAM–CNGR Nickel Matte Project 安塔姆与中伟冰镍合资规划,2022-11,合同,ANTAM与中伟签署框架协议,双方就镍矿工业区及冰镍方案签署框架合作，属于项目开发意向与资源协同安排；框架协议本身不代表合资公司、工厂或产线已经落地。,I39,https://www.antam.com/downloads/cngr-and-antam-sign-framework-agreement-for-the-development-of-nickel-ore-industrial-area
MHP018,PT Kolaka Nickel Indonesia (KNI) 科拉卡镍业波马拉湿法项目,2022-11-27,建设,Pomalaa综合项目奠基,Vale项目页记载Pomalaa矿山与KNI HPAL综合项目于2022年11月27日奠基，项目由此进入现场建设阶段。,Vale IGP Pomalaa项目页,https://vale.com/indonesia/indonesia-growth-projects-pomalaa
MHP032,PT Excellen Silo Leaching 埃克塞伦西洛浸出项目,2023,建设,一万吨镍吨HPAL模块交付,森松ALTA演示把Excellen-Silo列为2023年交付的1万镍吨模块。交付后仍需运输、安装、公用工程接入和调试，不能写成项目投产。,森松ALTA 2024模块化HPAL演示,https://d3e2i5nuh73s15.cloudfront.net/wp-content/uploads/2024/04/ALTA-2024-NCC-Presentation-Morimatsu.pdf
MHP042,LS MnM Inc. — EVBM Onsan / Saemangeum LS电池材料温山与新万金项目,2023,规划,LS MnM公布EVBM投资计划,LS集团公告EVBM投资方案，温山项目计划2026年试车、2027年开始生产，新万金属于后续扩展阶段；这些年份是计划，不作为已发生事件。,LS集团EVBM投资原公告,https://www.lsholdings.com/ko/media/news/37412b74686b32787335456f6f48576b346733516d6459724d77734f74753645
NPI005,PT Angel Nickel Industry (ANI) 安琪镍业,2023,规划,披露冰镍转换选项,Nickel Industries提出将部分产线及配套设施用于冰镍转换的方案。该方案取决于设备安排和市场条件，不能写成已经建成的冰镍产能。,Nickel Industries冰镍转换公告,https://nickelindustries.com/carbon/assets/2023/03/2522069.pdf
NPI013,PT Andalan Metal Industry (AMI) 安达兰金属工业,2023,股权,华友收购已有NPI项目权益,JOGMEC转述华友在2023年收购安达兰权益时，项目已有NPI生产基础。该交易节点确认资产与控制关系变化，不等于后续高冰镍改造已完成商业投产。,JOGMEC：华友收购印尼镍冶炼权益,https://journal.jogmec.go.jp/metal/news-flash/news-flash_49408.html
NPI013,PT Andalan Metal Industry (AMI) 安达兰金属工业,2023,规划,提出高冰镍改造方向,收购后的项目方案提出把既有镍铁生产基础向高冰镍延伸；截至现有来源，尚未见改造线验收、首炉合格品或连续商业销售日期。,Argus：Huayou accelerates nickel plans in Indonesia,https://www.argusmedia.com/zh/news-and-insights/latest-market-news/2472860-china-s-huayou-accelerates-nickel-plans-in-indonesia
NPI022,PT Huake Nickel Indonesia 华科镍业,2023,投产,项目基本达产,股东年度经营披露将华科列为2023年基本达产项目，说明生产由试运行转入较稳定阶段；具体NPI、低冰镍与高冰镍的跨厂加工量仍未拆分。,华友2025年度报告,https://www.huayou.com/Public/Uploads/uploadfile2/files/20260407/2025AnnualReportofHuayouCobalt.pdf
NPI031,PT Oracle Nickel Industry (ONI) 奥拉克镍业,2023,经营,进入商业销售,ONI在首产后进入商业销售，产出由Shanghai Decent按项目寿命承购安排组织；该合同覆盖NPI，不应延伸为未建成冰镍线的包销。,NIC 2025 SGX Offering Memorandum,https://links.sgx.com/FileOpen/Nickel%20Industries%20Limited_OM%20Part%201%20of%207.ashx?App=Prospectus&FileID=67646
NPI053,PT Bahodopi Nickel Smelting Indonesia (BNSI) 巴哈多比镍冶炼,2023,建设,Bahodopi项目奠基,Vale在Bahodopi举行采矿及加工项目奠基，标志区域项目进入建设准备；当时旧RKEF方案与后来HPAL合作的法人承接关系仍需区分。,Mirae2023年Vale初始覆盖,https://minio.miraeasset.io/web-research/uploads/231025_Mirae_Asset_Sekuritas_Indonesia_INCO_initiation_714ec6be05.pdf
MHP006,PT Huayue Nickel Cobalt (HNC) 华越镍钴,2023-01,股权,NIC取得间接10%权益,Nickel Industries从Newstride取得华越间接10%权益，形成新的股东层级；该交易日期与项目2021—2022年投产时间分开记录。,Nickel Industries：2023年1月投资演示,https://nickelindustries.com/carbon/assets/2023/01/2501030.pdf
NPI012,PT Debonair Nickel Indonesia 德邦镍业,2023-01-12,投产,48号炉首产、47号炉点火,官方披露48号炉产出首炉产品、47号炉完成点火，标志两条RKEF进入投产阶段；首炉只证明单线阶段性里程碑，不等于全基地稳定达产。,中伟：德邦镍业项目投产,https://cngrgf.com.cn/mobile/gsxw/1019.html
NPI030,PT Zhao Hui Nickel (ZHN) 兆辉镍业,2023Q2,投产,四条RKEF完成调试,MBMA季度业绩资料记载ZHN四条生产线在2023年第二季度完成调试，项目由建设阶段进入运行。,MBMA 2023年二季度业绩,https://assets.merdekabattery.com/dist/documents/Q2-2023-Results.pdf
MHP010,PT Gostal Nickel Indonesia 戈斯塔尔镍业,2023Q3,投产,Go STAL开始商业生产,TGEM公司资料把Go STAL商业生产起点列为2023年第三季度，说明小型模块化湿法装置由试验转入经营；披露仍缺当期产量和客户。,TGEM官方2025年7月公司说明,https://tgem.group/wp-content/uploads/2025/07/TGEM-Company-Brochure_July-2025.pdf
NPI020,PT Sunny Metal Industry 旭日金属工业,2023年初,投产,旭日进入商业生产,旭日在2023年初由试产转入商业生产，公开设计能力为每年5.5万镍金属吨。华新年报是该里程碑的集团来源。,华新丽华2025年年度报告,https://www.walsin.com/wp-content/uploads/2026/05/2025Annual-Report.pdf
NPI054,PT Wanxiang Nickel Indonesia 万向镍业,2023-02,投产,2号高炉投产,万向披露2号高炉于2023年2月投入运行，生产范围继续扩大；资料未同时确认3号高炉的独立投产节点。,Wanxiang官网历史,https://wanxiang.co.id/our-history/
NPI065,PT Unity Nickel Alloy Indonesia 印尼联合镍合金,2023-02-04,建设,PLN披露扩容计划,PLN明确Huadi Group为Unity母公司，并披露集团及Unity用电增容计划；电力申请反映项目建设需求，不能直接换算为已投运炉数或实际负荷。,PLN：Unity增容与Huadi集团关系,https://web.pln.co.id/media/siaran-pers/2023/02/terus-dukung-hilirisasi-industri-pln-tambah-layanan-ke-smelter-di-sulsel-170-mva
MHP003,PT Halmahera Persada Lygend (HPL) 奥比岛力勤HPL湿法项目,2023-03,建设,HPL二期完成,HPL二期于2023年3月完成，两期合计设计能力达到每年5.5万镍金属吨。工程完成与后续稳定负荷、产品分配仍应分开。,Harita 2023年一季度投资者演示,https://tbpnickel.com/files/pdf_assets/Q1%202023%20TBP%20Nickel%20Presentation.pdf
MHP018,PT Kolaka Nickel Indonesia (KNI) 科拉卡镍业波马拉湿法项目,2023-03-30,合同,Vale、华友与Ford签署三方协议,三方正式协议明确合作建设Pomalaa HPAL项目，由Vale矿区供应褐铁矿，在KNI设施生产MHP；签约时项目仍处建设期。,Vale、华友与Ford合作公告,https://vale.com/w/pt-sustainable-ev-industry/-/categories/3275897
NPI011,PT Cosan Metal Industry (COSAN) 科赞金属工业,2023-04-17,股权,Jindal取得科赞49%权益,Jindal Stainless通过Sungai Lestari收购科赞49%股权，把印尼NPI和冰镍资产纳入其不锈钢原料布局。,Jindal Stainless 2024／25财年年度报告,https://nsearchives.nseindia.com/corporate/JSL_08082025214114_JSLAR08Aug2025.pdf
RF002,PT Eternal Nickel Industry 永恒镍业,2023-04-28,股权,永恒镍业成立,PT Eternal Nickel Industry成立，随后在IWIP建设年产5万吨全板阴极镍项目；法人设立是项目起点，不等于当日开工或投产。,华友：ENI股东、财务与爬坡情况（2025-10-30）,https://stockmc.xueqiu.com/202510/603799_20251030_WU4A.pdf
NPI004,PT Nicole Metal Industry (NMI) 妮可镍业,2023-05-03,股权,POSCO宣布参股及高冰镍投资,POSCO Holdings宣布取得妮可49%权益，并在纬达贝推进年产5.2万镍金属吨的高冰镍项目。该数字是规划的高冰镍含镍量，不代表原有NPI装置已经达到同等产能。,POSCO官方韩文新闻：印尼镍冶炼投资,https://newsroom.posco.com/kr/포스코홀딩스-국내-기업-최초로-이차전지용-니켈-해/
NPI065,PT Unity Nickel Alloy Indonesia 印尼联合镍合金,2023-05-22,规划,企业披露分期建设方案,Unity参会介绍称首期配置2台39MVA电炉，二期2台36MVA仍在筹备；该节点确认分期方案，未提供可靠首产或商业运行日期。,Unity企业参会介绍,https://bxg.m.mysteel.com/23/0522/18/D0942A67CDA3F052_abc.html
MHP003,PT Halmahera Persada Lygend (HPL) 奥比岛力勤HPL湿法项目,2023-05-31,投产,硫酸镍项目投运仪式,HPL举行硫酸镍项目投运仪式，公司披露年产24万吨硫酸镍实物规模，对应约5.4万吨含镍能力；该后端能力不与MHP中的同一份镍重复累计。,"Freeport Indonesia转载：HPL首批5,584吨硫酸镍出口",https://ptfi.co.id/en/news/detail/ri-finally-has-3-giant-facilities-the-biggest-of-their-kind-in-the-world
P01,PT Huaneng Metal Industry (HNMI) 华能金属工业,2023-05-31,股权,MBMA完成60%权益收购,MBMA完成交易并取得项目60%权益，青山合作方保留40%；收购完成日是股权里程碑，不是工厂首次投产日期。,MBMA 2023年第二季度业绩报告,https://assets.merdekabattery.com/dist/documents/Q2-2023-Results.pdf
NPI046,PT Karunia Permai Sentosa (KPS) 力勤哈利达KPS镍铁项目,2023-06,建设,KPS项目开工建设,力勤资源披露KPS镍铁项目于2023年6月启动建设，规划十二条冶炼生产线，力勤与Harita分别持有65%和35%。规划能力在投产前不计为现有供给。,力勤资源2026中期报告,https://ir-upload.realxen.net/iis/2245/uploads/iis/2026/12330820-0.PDF
RF001,PT CNGR Ding Xing New Energy 中伟鼎兴新能源,2023-06,投产,鼎兴建成投产,中伟官方资料记载鼎兴电解镍项目于2023年6月建成投产；该月份是项目投产节点，不再另设重复的2023年度事件。,中伟：鼎兴DX-zwdx获LME注册及投产工艺,https://www.cngrgf.com.cn/gsxw/1289.html
MHP003,PT Halmahera Persada Lygend (HPL) 奥比岛力勤HPL湿法项目,2023-06-16,经营,首批硫酸镍正式出口,"公司披露5,584吨硫酸镍装入290个集装箱运往中国商业伙伴，确认商业出口节点；资料中的更早记录日期不替代公司正式首运事件。","Freeport Indonesia转载：HPL首批5,584吨硫酸镍出口",https://ptfi.co.id/en/news/detail/ri-finally-has-3-giant-facilities-the-biggest-of-their-kind-in-the-world
P05,PT Walhsu Metal Industry 华旭金属工业,2023-06-26,合同,签署转炉采购合同,华旭签署高冰镍转换炉采购合同，为承接旭日低冰镍并进一步加工高冰镍配置设备。采购合同是工程节点，不等于当天首产。,华新2023年报,https://www.walsin.com/wp-content/uploads/2024/04/112AnnualReport_ENv2.pdf
MHP008,PT Huafei Nickel Cobalt 华飞镍钴,2023-06-30,投产,首批MHP产品下线,华友披露华飞于2023年6月30日产出首批MHP，确认HPAL流程贯通；该日期是首批产品节点，不等同于达到设计能力。,华友：2023年度项目建设回顾,https://www.huayou.com/about/culture/cultural-activity/343.html
NPI054,PT Wanxiang Nickel Indonesia 万向镍业,2023-07,投产,4号高炉投产,万向官网记录4号高炉于2023年7月投入运行。现有公开节点仍不能完整闭合四座高炉逐炉状态及2026年实际负荷。,Wanxiang官网历史,https://wanxiang.co.id/our-history/
NPI044,PT Nadesico Nickel Industry (NNI) 德龙四期,2023-07-01,股权,中伟取得60%控制权益,中伟自2023年7月1日起取得NNI 60%权益并纳入控制范围；员工持股等其他层级不能直接叠加到这一项目公司比例。,中伟上市会计师报告,https://iis.aastocks.com/20251107/HKEX-EPS_20251107_11908959_29.PDF
NPI072,PT Aneka Tambang Tbk — East Halmahera 安塔姆东哈马黑拉镍铁厂,2023-07-07,投产,东哈马黑拉项目启动,ANTAM启动东哈马黑拉FeNi项目，工厂随后进入送电和热态调试阶段。该节点不是稳定商业生产。,MIND ID启动说明,https://mind.id/news/dukung-hilirisasi-pertambangan-grup-mind-id-antam-operasikan-pabrik-feronikel-haltim
NPI072,PT Aneka Tambang Tbk — East Halmahera 安塔姆东哈马黑拉镍铁厂,2023-07-19,投产,工厂送电,项目完成送电，为电炉及配套系统调试提供条件；供电完成与实际首次出铁分开记录。,ANTAM 2023年项目进展,https://www.antam.com/uploads/pengembangan-perusahaan-tahun-2023.pdf
RF003,PT Huaxiang Refining Indonesia 华翔精炼,2023-07-26,规划,华翔合资投资公告,华友公告建设年产5万镍吨硫酸镍项目，总投资约2亿美元；HUAYAO、STRIVE和LINDO分别持股49%、49%和2%。,华友钴业2023年对外投资公告,https://static.cninfo.com.cn/finalpage/2023-07-26/1217385396.PDF
RF003,PT Huaxiang Refining Indonesia 华翔精炼,2023-07-26,合同,股东按持股比例包销,同一合资公告约定三方或其关联方按49%、49%、2%比例包销全部产品，并设置同等条件下优先采购权；执行量和价格公式未公开。,华友钴业2023年对外投资公告,https://static.cninfo.com.cn/finalpage/2023-07-26/1217385396.PDF
MHP008,PT Huafei Nickel Cobalt 华飞镍钴,2023-08,合同,84亿元银团融资落地,华飞在建设和爬坡阶段完成组团金额84亿元人民币的银团融资，由多家金融机构共同参与，为项目建设和运营提供资金。,华友：华飞银团融资，2023年8月,https://www.huayou.com/news/corporate-news/115.html
MHP022,Sorowako Limonite HPAL Project 索罗瓦科褐铁矿湿法项目,2023-08-25,合同,签署Sorowako HPAL正式协议,Vale与华友相关主体PT Huali Nickel Indonesia签署正式协议，确定褐铁矿HPAL项目合作安排；当时披露的工期仍属计划。,Sorowako HPAL正式协议,https://vale.com/documents/d/guest/2023-8-25-press-release-signing-definitive-agreement-sorowako-hpal_english
P48,PT Hengsheng New Energy Material Indonesia 恒生新能源材料,2023-08-28,投产,恒生低冰镍首产,设备供应及项目报道确认恒生富氧侧吹项目于2023年8月28日产出首批低冰镍，形成实际产品证据；现有来源未确认独立高冰镍转换线。,Riseco-supplied Hengsheng commissioning report,https://news.metal.com/id/newscontent/102387317-indonesia-hengsheng-oxygen-enrich-side-blown-project-was-successfully-put-into-operation
NPI067,PT Kalimantan Ferro Industry (KFI) 加里曼丹铁业,2023-09,投产,首条RKEF点火,行业项目报道记录KFI首条RKEF于2023年9月点火，说明项目进入热态调试；点火本身不等于已经稳定产出合格镍铁或完成商业销售。,KFI首条RKEF点火报道,https://nie.mysteel.com/a/23091915/23E7EF30BFDEDCB2.html
NPI072,PT Aneka Tambang Tbk — East Halmahera 安塔姆东哈马黑拉镍铁厂,2023-09-12,投产,完成首次出铁,东哈马黑拉项目完成首次metal tapping，证明RKEF主流程已经贯通。后续仍需继续调试设备、供电和原料系统。,ANTAM 2023年项目进展,https://www.antam.com/uploads/pengembangan-perusahaan-tahun-2023.pdf
MHP000,PT Hydrotech Metal Indonesia 海卓科技印尼出口主体,2023-09-22,贸易记录,本样本最早的MHP发货记录,用户提供的出口样本从这一天开始出现该抬头的MHP记录，原记录编号为MT01707。这一节点用于追踪商业发货，不能据此确定冶炼装置的首产日期。,MHP逐票核查表,library/mhp-audit.xlsx
MHP017,PT Excelsior Nickel Cobalt (ENC) 晨曦镍钴,2023-10,规划,晨曦作出最终投资决定,Nickel Industries于2023年10月决定投资多产品HPAL项目，规划同时覆盖MHP、阴极镍和镍盐。投资决定是建设起点，不是投产。,ENC最终投资决定公告,https://nickelindustries.com/carbon/assets/2023/10/2622065.pdf
NPI055,PT Huadi Nickel-Alloy Indonesia 华迪镍合金,2023-10,合同,长期矿石供应合同开始执行,SMGA招股书披露矿山企业自2023年10月至2026年10月向华迪供矿，最低每月1万吨、镍品位1.65%至2.00%。,SMGA 2024年IPO初步招股书,https://www.nhis.co.id/wp-content/uploads/2024/01/i_Prospektus-Awal-IPO-SMGA-compressed.pdf
MHP024,PT Nickel Cobalt Halmahera (NCH) 布里镍钴,2023-12,合同,ANTAM与CBL签署合资协议,ANTAM与宁德时代邦普体系于2023年12月签署布里镍钴项目合资协议，拟在东哈马黑拉建设HPAL项目。签约节点不等于工厂开工。,ANTAM 2025半年报,https://announcements.asx.com.au/asxpdf/20250829/pdf/06nmgw4n0bd16y.pdf
P25,PT Hanrui Nickel Indonesia 寒锐镍业,2023-12,股权,合资安排披露,寒锐披露香港寒锐持项目70%、华鑫投资持30%的合资安排，为华宝园冰镍项目建设提供股权基础；华鑫投资不能误写成华友。,investment document,https://static.cninfo.com.cn/finalpage/2023-12-21/1218675576.PDF
P49,PT Alam Cipta Lestari 阿拉姆齐普塔莱斯塔里,2023-12-05,贸易记录,本样本最早的镍硫化物发货记录,用户提供的出口样本从这一天开始出现该抬头的镍硫化物记录，原记录编号为MAT00029。这一节点用于追踪商业发货，不能据此确定冶炼装置的首产日期。,冰镍出口与供销资料,library/exports.xlsx
MHP005,PT Obi Nickel Cobalt (ONC) 奥比镍钴湿法三期,2024,经营,ONC进入运行阶段,Harita 2024年报将ONC记为已进入运行阶段，说明项目由建设转向调试和生产；三条线的逐线投运月份未在正文来源中拆分。,Harita Nickel 2024年报,https://tbpnickel.com/files/pdf_assets/Harita%20Nickel%202024%20Annual%20Report.pdf
MHP016,PT Blue Sparking Energy (BSE) 蓝焰能源,2024,股权,Harum取得51%权益,Harum通过认购交易取得蓝焰项目51%权益，更新了原表50:50结构；其余49%最终持有人仍需正式名册，不能用青山标签替代。,Harum Energy 1Q2024 Summary and Highlights,https://www.harumenergy.com/cfind/source/files/mdna/1q-2024-summary-and-highlights.pdf
MHP048,Ambatovy Minerals S.A. / Dynatec Madagascar S.A. 安巴托维镍钴项目,2024,股权,项目进行债务重组,住友商事法定报告记载Ambatovy于2024年进行债务重组，反映项目财务结构调整，并非新增产能。,住友商事2025财年法定报告,https://www.sumitomocorp.com/-/media/Files/hq/ir/report/yuho/2025/202603yuho.pdf?sc_lang=en
NPI007,PT Yashi Indonesia Investment 雅石投资,2024,资料披露,列入省级大型工业企业名录,北马鲁古省工业贸易主管部门将雅石列入2024年SIINas大型工业企业名录，支持其持续经营身份；名录本身不披露逐炉负荷、产品品位或当年实际产量。,北马鲁古省工业贸易厅：2024年SIINas大型工业企业名录,https://satudata.malutprov.go.id/dataset/document/298/print
NPI008,PT Youshan Nickel Indonesia 友山镍业,2024,股权,盛屯取得控制权,盛屯收购华友控股香港所持华玮45%股权，对友山的间接权益由35.75%提高至65%，友山成为盛屯控制的海外镍资产。,盛屯矿业2024年年度报告,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10804135&stockid=600711
NPI014,PT Jiu Long Metal Industry 九龙金属工业,2024,股权,Gag Nikel取得30%股权,ANTAM体系的Gag Nikel以1.025亿美元取得JLMI 30%股权，青山控制的Newton International保留70%。交易同时衔接Gag矿源和园区冶炼能力。,ANTAM：收购JLMI、供矿预付款及股东贷款交易,https://company-announcements.afr.com/asx/atm/f7530936-84f1-11ef-a37f-cee6b8316b2c.pdf
NPI014,PT Jiu Long Metal Industry 九龙金属工业,2024,合同,签署矿石供应及预付款安排,Gag Nikel与青山旗下PT Universal Metal Trading签订矿石供应及预付款协议，预付款还用于支持部分股权收购资金。该合同不能当作JLMI投产日期。,ANTAM：收购JLMI、供矿预付款及股东贷款交易,https://company-announcements.afr.com/asx/atm/f7530936-84f1-11ef-a37f-cee6b8316b2c.pdf
NPI015,PT Perkasa Metal Industry 佩尔卡萨金属工业,2024,资料披露,列入省级工业企业名录,北马鲁古省官方SIINas名录确认Perkasa在IWIP/Lelilef登记为非铁金属工业企业；名录可确认法人和经营场所，不能代替逐炉运行证据。,北马鲁古省工业贸易厅：2024年SIINas大型工业企业名录,https://satudata.malutprov.go.id/dataset/document/298/print
NPI016,PT Kao Rahai Smelters 金川考拉海冶炼,2024,经营,金川调研确认四线项目关系,金川集团具名调研确认考拉海与寰宇均属于其同青山合作的印尼项目，考拉海承担上游镍铁冶炼。公开资料列示四线，但未披露逐炉负荷。,USMI→金川,https://www.jnmc.com/index.php/index/detail/index?id=3399
NPI017,PT Lipe Metal Industry 利佩金属工业,2024,资料披露,列入省级大型工业企业名录,北马鲁古省2024年大型工业企业名录列出Lipe，说明该法人已进入当地工业登记体系；名录没有披露逐炉投产、负荷或股东结构。,北马鲁古省2024年大型工业企业名录,https://satudata.malutprov.go.id/dataset/document/298/print
NPI018,PT Maluku Utara Metal Industry 北马鲁古金属工业,2024,资料披露,列入省级工业企业名录,北马鲁古省官方名录确认该法人位于IWIP/Lelilef并归入非铁金属工业；这能锁定经营主体和地点，但不披露电炉台数、负荷或最终股东。,北马鲁古省工业贸易厅：2024年SIINas大型工业企业名录,https://satudata.malutprov.go.id/dataset/document/298/print
NPI019,PT Lin Victor Metal Industry 林维克金属工业,2024,资料披露,列入北马鲁古大型企业名录,北马鲁古省2024年SIINas名录将林维克列为大型工业企业，确认法人和经营项目存在；该行政名录不能单独证明两炉均在运行或2.2万镍吨能力。,北马鲁古省工业贸易厅：2024年SIINas大型工业企业名录,https://satudata.malutprov.go.id/dataset/document/298/print
NPI020,PT Sunny Metal Industry 旭日金属工业,2024,股权,华新进一步提高旭日权益,华新在2024年继续整合印尼镍业务并提高对旭日的权益，同时退出Westrong。2025年报披露集团对旭日持股约79.6%。,华新丽华2025年年度报告,https://www.walsin.com/wp-content/uploads/2026/05/2025Annual-Report.pdf
NPI051,PT Shuoshi Indonesia Investment 华宝硕石镍铁,2024,投产,首条镍铁生产线投产,振石集团沿革将硕石首条生产线投产列为2024年的主要节点。硕石由建设阶段转入边投产、边调试和优化工艺的阶段。,振石集团发展历程：硕石首条生产线投产,https://www.zhenshigroup.com/history.html
P11,PT Universe Smelter Metal Industry 寰宇冶炼,2024,资料披露,金川调研确认寰宇项目关系,金川集团调研资料把寰宇与考拉海并列为同青山合作的印尼项目，寰宇承担高冰镍转换环节。该节点确认项目关系，不等于首产。,寰宇：集团具名调研,https://www.jnmc.com/index.php/index/detail/index?id=3399
RF003,PT Huaxiang Refining Indonesia 华翔精炼,2024,投产,项目建成试产,华友2024年年度报告将华翔列为建成试产项目，说明精炼产线已进入产品验证；试产节点不等于全年达产或稳定商业销售。,浙江华友钴业股份有限公司2024年年度报告,https://www.huayou.com/Public/Uploads/uploadfile/files/20250512/20250419603799.SHhuayouye603799huayouye2024nianniandubaogao.pdf
NPI021,PT Westrong Metal Industry 纬创金属工业,2024-01-26,股权,Harum增持至80.7%,Harum披露对Westrong的权益升至80.7%，华新同期退出原29.5%权益；该交易更新了控制关系，不能继续把华新写成当前控股方。,Harum 2024Q1 Summary and Highlights,https://www.harumenergy.com/cfind/source/files/mdna/1q-2024-summary-and-highlights.pdf
NPI032,PT Ocean Sky Metal Industry 海天金属工业,2024H1,资料披露,SIINas记录为生产状态,中苏拉威西省工业部门公开的SIINas生产阶段报告，报告期为2024年上半年，将Ocean Sky状态列为“Berproduksi”，并记载其不提供或使用委托加工。,Sulawesi Tengah工业企业SIINas报告,https://www.disperindag.sultengprov.go.id/images/laporan/68622802eb4e6.pdf
MHP010,PT Gostal Nickel Indonesia 戈斯塔尔镍业,2024Q3,投产,"形成每年3,200吨MHP能力","TGEM披露Go STAL在2024年第三季度形成每年3,200吨MHP生产能力。该数字是MHP产品实物能力，不应误作镍金属吨。",TGEM官方2025年7月公司说明,https://tgem.group/wp-content/uploads/2025/07/TGEM-Company-Brochure_July-2025.pdf
NPI035,PT Bukit Smelter Indonesia (BSI) 布吉特冶炼,2024Q3,经营,上游厂组参与低冰镍供料,MBMA季度报告确认BSI、CSI与兆辉组成供料厂组，为华能高冰镍设施提供低冰镍。披露未逐厂拆分数量，不能把厂组总量全部归给BSI。,MBMA Q3 2024 report,https://assets.merdekabattery.com/dist/documents/MBMA%20Q3%202024%20Quarterly%20Activities%20Report%20vF.pdf
MHP014,PT Meiming New Energy Material (MNEM) 美明新能源材料,2024Q4,建设,全厂处于调试阶段,MBMA年报将美明在2024年末的状态描述为调试，说明首次出料后仍需完成整厂爬坡和系统联动，不能把10月节点直接写成全面达产。,MBMA Annual Report 2025,https://assets.merdekabattery.com/dist/documents/MBMA_AR_2025_30%20April.pdf
NPI024,PT Lancon Metal Industry 澜凯金属工业,2024Q4,资料披露,列入工业合规核验对象,印尼工业部2024年第四季度工作报告在业务标准履行核验对象中具名列出Lancon，证明项目已进入监管和经营体系；该记录不披露逐炉首产日期。,印尼工业部ILMATE 2024Q4 PP39工作报告,https://ilmate.kemenperin.go.id/files/document/1742614114-00.%20Update%20LAPORAN%20PP39%20TW%20IV%202024%20scan.pdf
P09,PT JIAMAN NEW ENERGY 嘉曼新能源,2024Q4,投产,首条生产线调试,项目首条线在2024年第四季度进入调试，标志建设转入热态运行阶段；调试产物与合格高冰镍商业生产仍需分开。,伟明环保2026年半年度报告,https://file.finance.sina.com.cn/211.154.219.97%3A9494/MRGG/CNSESH_STOCK/2026/2026-8/2026-08-15/12495705.PDF
